NO LOAD			Charger			Bulb
8.07, 48.83, 6.05			12.70, 60.78, 4.79			13.54, 68.83, 5.08
9.18, 52.79, 5.75			11.39, 55.22, 4.85			13.34, 67.10, 5.03
8.89, 51.85, 5.83			11.42, 59.16, 5.18			13.47, 72.42, 5.38
9.08, 51.19, 5.64			11.63, 56.98, 4.90			12.80, 56.72, 4.43
8.31, 47.41, 5.70			11.06, 64.20, 5.80			12.37, 64.56, 5.22
9.02, 47.96, 5.32			12.00, 66.74, 5.56			12.34, 55.08, 4.46
8.72, 51.55, 5.91			10.65, 48.02, 4.51			12.73, 66.42, 5.22
7.44, 46.98, 6.31			12.03, 53.91, 4.48			13.21, 66.29, 5.02
8.26, 47.62, 5.77			11.16, 56.09, 5.03			13.65, 90.85, 6.65
8.32, 50.85, 6.11			11.65, 62.84, 5.39			13.26, 80.07, 6.04
8.37, 57.85, 6.91			10.92, 66.29, 6.07			13.16, 62.63, 4.76
8.76, 54.98, 6.28			11.28, 64.24, 5.70			13.08, 63.95, 4.89
8.49, 49.91, 5.88			10.95, 50.79, 4.64			12.80, 69.94, 5.47
7.99, 56.62, 7.09			12.08, 64.01, 5.30			13.51, 71.43, 5.29
8.06, 50.69, 6.29			11.55, 59.99, 5.19			13.21, 71.09, 5.38
9.00, 50.78, 5.64			11.24, 61.37, 5.46			13.79, 69.91, 5.07
7.41, 37.53, 5.06			12.13, 58.07, 4.79			13.20, 84.14, 6.37
8.40, 47.03, 5.60			12.34, 60.31, 4.89			12.57, 60.90, 4.85
8.94, 55.48, 6.21			11.85, 58.86, 4.97			13.03, 63.70, 4.89
8.30, 65.80, 7.93			11.15, 52.23, 4.68			11.50, 54.32, 4.72
8.28, 52.91, 6.39			11.75, 53.66, 4.57			12.88, 68.84, 5.34
7.47, 57.29, 7.67			11.72, 60.48, 5.16			12.21, 66.45, 5.44
8.06, 48.70, 6.04			10.73, 54.47, 5.08			12.61, 59.56, 4.72
8.14, 55.99, 6.88			11.92, 56.96, 4.78			12.72, 59.78, 4.70
8.39, 51.48, 6.14			11.40, 59.34, 5.20			13.50, 68.01, 5.04
9.12, 53.78, 5.90			11.71, 60.71, 5.19			14.18, 66.58, 4.69
8.57, 52.43, 6.11			12.13, 58.52, 4.82			12.81, 61.83, 4.83
9.02, 52.92, 5.87			11.46, 55.54, 4.85			13.61, 68.46, 5.03
9.20, 54.95, 5.97			11.48, 65.11, 5.67			11.13, 54.93, 4.94
8.24, 44.66, 5.42			11.63, 60.83, 5.23			11.39, 55.22, 4.85
6.90, 45.74, 6.63			10.92, 57.06, 5.22			10.92, 59.16, 5.42
8.37, 52.94, 6.33			10.93, 51.18, 4.68			13.14, 72.64, 5.53
8.18, 53.91, 6.59			10.86, 62.80, 5.78			10.66, 57.15, 5.36
8.33, 48.93, 5.87			11.62, 53.02, 4.56			11.87, 58.63, 4.94
8.42, 52.61, 6.25			12.20, 58.23, 4.77			12.86, 64.33, 5.00
9.14, 45.58, 4.98			11.19, 56.83, 5.08			12.77, 67.58, 5.29
8.42, 50.05, 5.94			11.97, 60.88, 5.08			12.74, 71.07, 5.58
8.35, 54.10, 6.48			11.83, 59.27, 5.01			13.26, 78.30, 5.91
8.24, 53.14, 6.45			11.40, 51.24, 4.49			13.48, 68.97, 5.12
8.38, 52.35, 6.24			10.53, 47.76, 4.53			12.40, 52.88, 4.27
7.85, 52.12, 6.64			12.24, 61.17, 5.00			12.61, 60.05, 4.76
8.68, 58.80, 6.77			11.79, 68.37, 5.80			13.00, 62.01, 4.77
8.31, 50.47, 6.08			11.03, 54.30, 4.92			12.77, 62.62, 4.90
8.68, 53.33, 6.14			11.30, 57.03, 5.05			13.43, 59.67, 4.44
8.39, 50.27, 5.99			11.39, 61.12, 5.37			12.49, 49.35, 3.95
9.03, 48.89, 5.42			11.49, 57.11, 4.97			12.43, 61.16, 4.92
8.15, 48.17, 5.91			11.88, 59.24, 4.99			12.31, 66.12, 5.37
8.84, 54.40, 6.15			11.11, 64.36, 5.80			13.73, 60.35, 4.40
8.74, 52.74, 6.03			12.59, 59.46, 4.72			13.13, 58.23, 4.43
8.37, 52.12, 6.23			11.66, 59.19, 5.08			13.40, 67.62, 5.05
8.03, 47.47, 5.91			11.89, 58.41, 4.91			12.69, 71.54, 5.64
7.75, 48.71, 6.28			12.32, 54.80, 4.45			12.30, 59.19, 4.81
7.63, 47.82, 6.27			11.71, 65.18, 5.57			14.14, 68.84, 4.87
7.10, 44.50, 6.27			11.73, 48.90, 4.17			12.87, 63.83, 4.96
8.72, 48.91, 5.61			11.57, 52.51, 4.54			14.09, 67.64, 4.80
8.34, 57.76, 6.93			10.66, 54.30, 5.09			13.36, 64.94, 4.86
8.69, 52.93, 6.09			11.67, 59.79, 5.12			13.11, 59.12, 4.51
7.96, 53.13, 6.67			11.40, 53.63, 4.70			12.41, 60.31, 4.86
9.28, 51.26, 5.52			11.45, 57.87, 5.05			12.34, 66.38, 5.38
8.96, 50.69, 5.65			11.51, 62.78, 5.45			13.57, 69.09, 5.09
8.39, 51.26, 6.11			11.91, 63.07, 5.30			12.54, 66.66, 5.32
8.25, 63.05, 7.65			11.94, 57.70, 4.83			14.30, 68.49, 4.79
8.28, 51.29, 6.19			11.59, 57.60, 4.97			13.45, 58.12, 4.32
8.02, 49.83, 6.21			12.17, 68.61, 5.64			13.85, 64.62, 4.67
8.44, 50.97, 6.04			11.62, 56.84, 4.89			12.19, 68.03, 5.58
8.44, 58.09, 6.88			12.00, 62.08, 5.17			13.64, 69.37, 5.09
8.15, 52.18, 6.41			12.00, 60.33, 5.03			12.93, 61.28, 4.74
7.76, 48.10, 6.20			11.78, 65.08, 5.52			13.16, 70.95, 5.39
7.95, 49.84, 6.27			11.19, 54.20, 4.84			13.04, 64.88, 4.97
8.72, 54.55, 6.25			11.81, 55.81, 4.73			12.09, 56.91, 4.71
8.25, 54.70, 6.63			10.78, 57.48, 5.33			12.46, 65.58, 5.26
8.14, 47.67, 5.85			10.59, 49.76, 4.70			13.42, 65.12, 4.85
8.96, 55.06, 6.14			11.19, 51.49, 4.60			12.45, 55.74, 4.48
7.27, 51.19, 7.04			10.83, 45.07, 4.16			13.27, 58.54, 4.41
8.49, 50.15, 5.91			10.55, 45.00, 4.26			13.39, 64.23, 4.80
7.92, 45.17, 5.70			11.69, 95.12, 8.14			12.27, 68.81, 5.61
7.78, 55.64, 7.16			10.84, 51.02, 4.71			12.97, 61.80, 4.77
8.51, 46.83, 5.50			10.90, 54.05, 4.96			12.46, 76.36, 6.13
7.19, 45.32, 6.31			10.96, 53.57, 4.89			12.47, 61.53, 4.93
8.11, 55.47, 6.84			10.99, 58.91, 5.36			13.47, 59.91, 4.45
7.80, 50.61, 6.49			11.51, 54.51, 4.73			12.72, 64.32, 5.06
8.18, 51.91, 6.35			11.68, 59.87, 5.12			13.16, 60.80, 4.62
7.92, 47.82, 6.03			10.89, 58.29, 5.35			12.01, 59.87, 4.99
7.69, 39.54, 5.14			11.23, 59.51, 5.30			12.87, 68.65, 5.33
6.57, 39.47, 6.01			11.33, 50.86, 4.49			12.69, 61.34, 4.83
6.00, 37.70, 6.28			10.48, 52.57, 5.02			13.74, 66.73, 4.86
5.99, 43.17, 7.20			10.92, 57.68, 5.28			12.16, 50.56, 4.16
5.92, 32.27, 5.45			10.98, 52.62, 4.79			13.09, 60.05, 4.59
5.26, 30.54, 5.80			11.24, 43.37, 3.86			13.21, 59.36, 4.49
5.15, 29.55, 5.74			11.18, 47.86, 4.28			12.78, 62.57, 4.89
5.66, 39.74, 7.02			10.73, 53.18, 4.96			12.26, 61.96, 5.05
5.56, 32.72, 5.89			11.17, 49.01, 4.39			13.11, 63.93, 4.88
5.89, 37.09, 6.30			11.29, 53.06, 4.70			12.63, 69.75, 5.52
6.22, 34.34, 5.52			11.07, 51.55, 4.66			12.68, 59.75, 4.71
6.37, 48.60, 7.63			11.95, 57.00, 4.77			12.96, 65.08, 5.02
9.03, 54.31, 6.01			11.87, 51.23, 4.32			12.77, 56.34, 4.41
8.65, 47.75, 5.52			11.02, 59.28, 5.38			13.49, 62.03, 4.60
8.97, 91.23, 10.17			10.99, 53.49, 4.87			13.09, 67.38, 5.15
8.84, 59.40, 6.72			10.25, 55.62, 5.43			12.99, 64.48, 4.96
8.74, 53.49, 6.12			11.08, 52.26, 4.72			13.34, 62.40, 4.68
8.55, 46.19, 5.40			10.90, 55.16, 5.06			13.53, 64.02, 4.73
8.95, 74.76, 8.35			11.21, 50.47, 4.50			13.45, 62.19, 4.62
8.68, 56.13, 6.47			10.92, 77.98, 7.14			13.05, 55.61, 4.26
8.58, 52.06, 6.07			10.80, 50.79, 4.70			13.17, 66.94, 5.08
8.88, 57.34, 6.46			10.96, 53.32, 4.87			12.49, 69.52, 5.57
8.46, 52.95, 6.26			11.22, 54.16, 4.83			12.80, 54.18, 4.23
8.94, 62.96, 7.04			11.23, 53.29, 4.74			13.36, 62.90, 4.71
8.71, 53.05, 6.09			11.14, 45.71, 4.10			13.25, 61.44, 4.64
8.89, 56.28, 6.33			11.34, 54.52, 4.81			13.27, 64.90, 4.89
8.15, 48.78, 5.98			10.78, 51.11, 4.74			12.58, 60.19, 4.79
8.86, 55.06, 6.22			11.48, 58.68, 5.11			13.21, 58.93, 4.46
8.27, 43.28, 5.23			10.97, 62.78, 5.72			11.81, 64.50, 5.46
8.29, 45.64, 5.51			10.73, 61.12, 5.70			12.26, 62.38, 5.09
8.03, 53.06, 6.61			11.91, 69.73, 5.86			13.57, 71.61, 5.28
8.10, 49.43, 6.10			11.65, 54.46, 4.68			12.55, 65.06, 5.18
7.57, 43.56, 5.75			11.24, 55.67, 4.95			12.26, 57.15, 4.66
8.95, 58.88, 6.58			11.06, 66.19, 5.98			11.92, 62.43, 5.24
19.31, 68.40, 3.54			11.09, 51.55, 4.65			11.81, 58.67, 4.97
8.74, 48.15, 5.51			11.34, 55.33, 4.88			12.17, 55.95, 4.60
6.59, 43.84, 6.65			11.33, 52.18, 4.61			12.55, 80.92, 6.45
6.37, 46.79, 7.35			11.19, 68.97, 6.17			12.36, 63.48, 5.13
6.34, 71.64, 11.29			10.89, 61.91, 5.68			11.90, 60.13, 5.05
6.16, 32.38, 5.26			11.44, 50.93, 4.45			12.12, 54.73, 4.52
6.33, 38.41, 6.07			11.09, 57.47, 5.18			11.79, 62.57, 5.31
6.28, 36.52, 5.82			11.26, 52.70, 4.68			12.26, 66.58, 5.43
6.34, 42.83, 6.76			10.94, 54.44, 4.97			12.08, 56.94, 4.71
8.38, 48.95, 5.84			10.80, 55.56, 5.15			11.92, 66.70, 5.60
6.72, 42.05, 6.26			11.17, 63.68, 5.70			12.31, 59.33, 4.82
10.24, 57.54, 5.62			11.01, 50.99, 4.63			12.57, 65.90, 5.24
9.02, 56.52, 6.26			10.98, 49.04, 4.47			13.03, 65.63, 5.04
9.26, 49.81, 5.38			11.35, 46.17, 4.07			11.45, 73.93, 6.46
7.58, 47.70, 6.29			10.98, 58.99, 5.37			12.95, 79.12, 6.11
7.27, 49.55, 6.81			10.98, 66.41, 6.05			12.25, 62.51, 5.10
7.02, 48.70, 6.94			10.90, 58.17, 5.34			12.83, 66.34, 5.17
6.85, 48.04, 7.01			11.46, 63.95, 5.58			12.72, 63.56, 5.00
6.84, 52.31, 7.64			10.60, 47.09, 4.44			11.58, 63.98, 5.52
8.44, 65.05, 7.71			9.99, 54.29, 5.43			12.72, 65.27, 5.13
10.76, 60.12, 5.59			11.45, 56.12, 4.90			12.87, 68.47, 5.32
9.26, 51.45, 5.56			11.67, 60.68, 5.20			11.95, 61.90, 5.18
8.79, 51.20, 5.82			10.95, 58.26, 5.32			12.57, 60.71, 4.83
9.41, 56.40, 5.99			10.92, 47.09, 4.31			12.63, 59.81, 4.73
8.39, 52.02, 6.20			10.95, 60.38, 5.51			12.84, 75.30, 5.87
8.63, 50.68, 5.87			11.72, 52.28, 4.46			12.11, 62.56, 5.17
8.91, 52.57, 5.90			11.05, 60.22, 5.45			12.29, 69.22, 5.63
9.71, 52.66, 5.42			11.16, 55.17, 4.94			12.48, 67.10, 5.38
9.13, 54.30, 5.95			11.27, 53.16, 4.72			12.03, 54.09, 4.50
8.98, 55.12, 6.14			11.05, 54.81, 4.96			12.22, 64.27, 5.26
8.27, 53.19, 6.44			10.65, 48.05, 4.51			12.52, 58.23, 4.65
7.89, 42.13, 5.34			11.03, 44.89, 4.07			12.60, 59.82, 4.75
7.96, 45.23, 5.68			10.93, 81.95, 7.50			12.79, 61.38, 4.80
8.67, 52.79, 6.09			11.33, 53.59, 4.73			12.40, 64.51, 5.20
8.37, 49.77, 5.95			10.75, 49.07, 4.57			12.85, 62.09, 4.83
8.87, 56.59, 6.38			11.48, 56.12, 4.89			13.78, 74.68, 5.42
8.40, 48.28, 5.75			10.84, 46.96, 4.33			12.64, 57.33, 4.53
9.42, 52.39, 5.56			10.02, 53.36, 5.32			12.62, 58.79, 4.66
9.53, 57.78, 6.06			11.24, 51.16, 4.55			12.67, 71.90, 5.67
8.52, 53.82, 6.31			11.35, 58.94, 5.19			12.43, 53.51, 4.30
8.97, 54.35, 6.06			10.95, 45.29, 4.14			13.76, 63.70, 4.63
7.63, 48.25, 6.32			12.11, 66.01, 5.45			13.48, 65.65, 4.87
8.49, 54.41, 6.41			11.64, 52.93, 4.55			12.42, 65.92, 5.31
7.79, 40.98, 5.26			11.49, 57.27, 4.98			12.57, 63.29, 5.04
8.59, 52.76, 6.14			11.66, 55.45, 4.76			11.95, 69.90, 5.85
8.34, 49.14, 5.89			11.80, 59.62, 5.05			13.09, 62.94, 4.81
9.22, 55.92, 6.06			12.11, 57.12, 4.72			12.61, 64.07, 5.08
8.85, 49.72, 5.62			11.92, 63.01, 5.28			13.07, 54.95, 4.20
7.95, 54.02, 6.79			11.39, 54.58, 4.79			11.26, 51.91, 4.61
8.93, 53.85, 6.03			11.18, 63.20, 5.65			12.77, 63.28, 4.96
8.49, 52.37, 6.17			12.44, 57.63, 4.63			12.22, 66.48, 5.44
8.75, 49.38, 5.64			11.46, 58.60, 5.11			12.68, 68.10, 5.37
9.13, 53.74, 5.89			11.65, 57.97, 4.98			12.41, 51.79, 4.17
8.14, 50.20, 6.17			11.29, 64.57, 5.72			12.94, 65.72, 5.08
9.11, 56.78, 6.23			10.87, 55.62, 5.11			14.01, 80.24, 5.73
8.95, 51.76, 5.78			11.61, 69.91, 6.02			12.85, 63.57, 4.95
8.11, 54.16, 6.68			11.95, 55.70, 4.66			12.78, 64.27, 5.03
9.32, 50.56, 5.42			12.71, 58.82, 4.63			12.49, 66.69, 5.34
8.58, 47.56, 5.54			11.52, 64.27, 5.58			12.54, 59.73, 4.77
9.07, 50.05, 5.52			11.68, 55.90, 4.78			12.57, 69.28, 5.51
7.92, 45.76, 5.78			11.23, 56.72, 5.05			13.10, 70.90, 5.41
8.80, 52.85, 6.01			11.47, 58.15, 5.07			12.42, 58.53, 4.71
9.11, 52.62, 5.78			12.22, 64.46, 5.28			13.39, 65.80, 4.91
9.05, 50.49, 5.58			11.46, 52.89, 4.62			12.66, 63.78, 5.04
9.17, 54.05, 5.89			11.14, 58.92, 5.29			12.13, 58.91, 4.86
8.74, 50.14, 5.74			11.69, 56.72, 4.85			12.94, 68.86, 5.32
8.43, 50.04, 5.94			11.38, 55.42, 4.87			13.21, 63.26, 4.79
8.15, 50.07, 6.14			12.11, 59.31, 4.90			12.09, 62.71, 5.18
9.09, 48.90, 5.38			12.25, 58.42, 4.77			13.37, 60.27, 4.51
9.45, 49.12, 5.20			10.95, 60.69, 5.54			12.69, 53.61, 4.22
9.21, 49.34, 5.35			10.96, 55.58, 5.07			13.51, 66.73, 4.94
8.90, 54.13, 6.09			10.58, 57.30, 5.41			12.24, 57.02, 4.66
9.30, 55.07, 5.92			11.74, 63.05, 5.37			13.72, 69.12, 5.04
8.34, 38.56, 4.62			11.61, 60.69, 5.23			12.68, 58.65, 4.63
9.36, 51.01, 5.45			12.05, 56.14, 4.66			13.38, 70.82, 5.29
8.91, 52.95, 5.94			11.06, 61.22, 5.54			13.71, 62.27, 4.54
9.76, 54.31, 5.56			11.89, 58.19, 4.90			12.84, 68.86, 5.36
9.54, 52.99, 5.55			10.82, 53.39, 4.94			12.77, 62.08, 4.86
9.20, 51.12, 5.56			10.73, 49.06, 4.57			12.74, 52.94, 4.16
8.59, 47.31, 5.51			11.15, 51.58, 4.62			13.51, 70.41, 5.21
9.11, 52.11, 5.72			10.71, 44.17, 4.12			12.87, 58.58, 4.55
9.13, 52.55, 5.76			10.65, 46.02, 4.32			12.30, 60.42, 4.91
9.72, 51.16, 5.26			10.87, 55.05, 5.06			13.00, 69.62, 5.36
9.60, 50.11, 5.22			11.27, 51.93, 4.61			13.26, 68.70, 5.18
9.38, 61.77, 6.58			10.75, 48.16, 4.48			12.31, 64.14, 5.21
8.70, 51.59, 5.93			10.57, 51.64, 4.89			13.33, 60.96, 4.57
8.77, 49.90, 5.69			11.28, 55.66, 4.94			11.95, 55.82, 4.67
9.59, 50.04, 5.22			10.58, 49.08, 4.64			11.41, 57.13, 5.01
9.11, 64.96, 7.13			10.83, 47.98, 4.43			12.66, 60.47, 4.78
10.08, 59.79, 5.93			10.72, 59.75, 5.58			13.35, 62.28, 4.66
9.76, 52.96, 5.42			11.40, 56.44, 4.95			13.08, 67.74, 5.18
8.92, 53.88, 6.04			10.88, 62.07, 5.70			12.31, 63.23, 5.14
9.03, 46.38, 5.14			10.44, 56.87, 5.45			13.61, 62.39, 4.59
9.32, 55.02, 5.91			10.51, 54.87, 5.22			12.50, 66.00, 5.28
8.54, 48.92, 5.73			10.59, 47.22, 4.46			12.48, 52.93, 4.24
8.20, 53.48, 6.52			11.24, 59.18, 5.26			12.50, 73.71, 5.89
9.06, 50.74, 5.60			10.10, 58.56, 5.80			13.01, 61.05, 4.69
9.00, 48.57, 5.40			11.00, 51.56, 4.69			12.00, 70.79, 5.90
8.36, 47.83, 5.72			10.94, 59.41, 5.43			12.04, 65.34, 5.43
9.58, 53.17, 5.55			10.34, 47.24, 4.57			13.98, 75.12, 5.37
9.29, 50.27, 5.41			10.46, 45.43, 4.34			13.00, 57.93, 4.45
9.32, 48.03, 5.15			10.16, 59.48, 5.85			11.90, 64.54, 5.42
8.80, 46.91, 5.33			11.16, 48.77, 4.37			12.44, 59.63, 4.79
8.55, 51.66, 6.04			11.05, 58.66, 5.31			11.96, 58.78, 4.91
9.15, 52.82, 5.77			11.34, 55.07, 4.86			12.13, 58.97, 4.86
9.17, 52.35, 5.71			11.44, 67.62, 5.91			11.36, 64.13, 5.65
9.15, 54.54, 5.96			10.78, 50.56, 4.69			11.88, 61.07, 5.14
8.97, 50.74, 5.66			11.35, 49.93, 4.40			12.45, 78.05, 6.27
8.41, 49.20, 5.85			11.28, 57.34, 5.09			11.99, 59.30, 4.95
9.05, 50.61, 5.59			11.53, 67.53, 5.86			11.35, 57.99, 5.11
9.72, 49.20, 5.06			11.77, 55.56, 4.72			11.97, 57.80, 4.83
9.27, 54.99, 5.93			11.34, 53.12, 4.69			11.59, 63.41, 5.47
8.93, 52.35, 5.86			11.30, 55.84, 4.94			12.15, 65.91, 5.42
8.65, 52.23, 6.04			11.62, 57.57, 4.96			12.22, 65.52, 5.36
9.21, 52.03, 5.65			11.31, 49.15, 4.35			11.53, 67.33, 5.84
9.22, 53.41, 5.80			11.63, 58.82, 5.06			12.77, 57.38, 4.49
8.46, 45.19, 5.34			12.17, 57.69, 4.74			12.34, 69.31, 5.62
9.70, 50.74, 5.23			13.18, 70.95, 5.38			11.85, 55.15, 4.65
8.75, 59.69, 6.82			11.99, 76.81, 6.40			11.32, 60.55, 5.35
8.95, 44.40, 4.96			12.35, 70.74, 5.73			12.41, 61.86, 4.98
9.08, 53.67, 5.91			11.25, 56.77, 5.04			11.86, 60.06, 5.06
9.85, 56.40, 5.73			12.44, 58.67, 4.72			11.70, 56.77, 4.85
9.52, 55.43, 5.82			12.98, 59.12, 4.56			11.90, 60.58, 5.09
9.42, 52.06, 5.52			11.71, 55.10, 4.71			12.54, 62.97, 5.02
9.27, 51.39, 5.54			12.37, 55.12, 4.46			11.43, 53.15, 4.65
8.95, 54.08, 6.04			11.22, 57.33, 5.11			12.15, 69.01, 5.68
9.45, 64.19, 6.79			11.90, 62.31, 5.24			12.08, 58.78, 4.86
9.02, 52.90, 5.86			12.61, 70.66, 5.61			12.43, 64.62, 5.20
8.07, 51.84, 6.43			10.59, 53.78, 5.08			12.58, 73.17, 5.82
9.71, 49.10, 5.06			11.61, 65.10, 5.61			12.15, 66.53, 5.48
8.79, 50.46, 5.74			12.30, 91.34, 7.43			11.65, 55.64, 4.78
8.97, 55.18, 6.15			11.76, 58.76, 4.99			12.51, 54.57, 4.36
9.58, 55.60, 5.80			11.44, 52.64, 4.60			11.74, 57.96, 4.94
8.70, 47.51, 5.46			11.70, 61.67, 5.27			11.64, 54.01, 4.64
8.97, 51.08, 5.69			12.29, 52.93, 4.31			12.60, 64.83, 5.15
9.09, 50.64, 5.57			11.81, 63.89, 5.41			11.72, 60.70, 5.18
9.05, 49.91, 5.52			11.87, 68.38, 5.76			12.46, 59.90, 4.81
8.37, 54.22, 6.48			11.76, 55.05, 4.68			12.49, 62.98, 5.04
9.58, 53.30, 5.57			11.58, 57.59, 4.97			12.11, 58.11, 4.80
9.15, 49.65, 5.43			11.77, 75.12, 6.38			11.75, 61.96, 5.27
8.55, 53.12, 6.21			11.79, 63.49, 5.38			11.97, 66.94, 5.59
8.85, 54.88, 6.20			11.73, 50.81, 4.33			12.26, 63.73, 5.20
8.47, 47.29, 5.59			11.43, 52.92, 4.63			11.90, 59.66, 5.01
9.00, 52.65, 5.85			11.65, 56.05, 4.81			11.47, 58.69, 5.12
8.72, 46.26, 5.30			11.61, 57.72, 4.97			11.49, 57.54, 5.01
8.07, 52.85, 6.55			11.38, 65.83, 5.78			11.67, 62.64, 5.37
9.28, 49.82, 5.37			11.74, 60.99, 5.19			11.90, 60.61, 5.09
8.47, 45.40, 5.36			11.91, 67.34, 5.66			11.24, 63.44, 5.64
9.03, 48.77, 5.40			12.06, 58.84, 4.88			12.36, 56.12, 4.54
8.95, 50.52, 5.65			11.39, 53.90, 4.73			12.55, 57.98, 4.62
8.83, 53.80, 6.09			11.57, 57.10, 4.94			12.39, 66.42, 5.36
8.84, 47.76, 5.40			12.93, 68.95, 5.33			13.21, 70.25, 5.32
8.52, 51.75, 6.08			11.65, 57.01, 4.89			12.60, 57.32, 4.55
9.39, 51.78, 5.51			11.72, 56.20, 4.80			11.90, 62.03, 5.21
8.39, 57.56, 6.86			12.46, 55.72, 4.47			12.31, 66.12, 5.37
8.41, 45.31, 5.39			11.79, 51.34, 4.35			12.04, 58.57, 4.87
9.02, 54.33, 6.02			11.12, 51.07, 4.59			12.75, 63.14, 4.95
8.30, 51.95, 6.26			11.88, 59.36, 4.99			13.62, 82.34, 6.04
9.21, 46.62, 5.06			12.17, 70.48, 5.79			12.45, 54.99, 4.42
9.69, 55.02, 5.68			11.38, 48.69, 4.28			13.69, 75.38, 5.51
8.74, 49.48, 5.66			11.50, 52.29, 4.55			13.61, 69.08, 5.07
8.62, 53.89, 6.25			12.03, 56.45, 4.69			13.28, 67.04, 5.05
8.32, 47.09, 5.66			12.09, 58.96, 4.87			13.21, 77.16, 5.84
8.54, 51.37, 6.01			11.98, 55.89, 4.67			12.41, 63.99, 5.16
9.04, 52.65, 5.82			11.95, 51.17, 4.28			12.36, 53.06, 4.29
8.28, 40.67, 4.91			12.50, 65.24, 5.22			12.67, 58.77, 4.64
8.87, 44.46, 5.01			11.82, 68.63, 5.81			13.09, 64.12, 4.90
9.20, 52.03, 5.65			12.46, 61.41, 4.93			13.90, 62.72, 4.51
9.04, 52.14, 5.77			11.81, 57.46, 4.86			12.67, 57.56, 4.54
8.45, 48.55, 5.74			11.27, 57.11, 5.07			12.90, 54.78, 4.25
8.96, 53.56, 5.97			11.89, 64.18, 5.40			13.25, 63.83, 4.82
8.93, 53.81, 6.02			11.31, 55.71, 4.93			13.62, 62.10, 4.56
8.07, 47.88, 5.93			10.86, 53.77, 4.95			13.35, 76.77, 5.75
8.72, 50.56, 5.80			12.16, 57.57, 4.73			13.32, 61.78, 4.64
8.69, 51.86, 5.96			11.84, 70.80, 5.98			12.22, 52.86, 4.33
8.94, 55.60, 6.22			11.84, 60.15, 5.08			12.07, 59.57, 4.94
8.43, 50.58, 6.00			11.02, 59.21, 5.37			13.13, 67.31, 5.13
9.04, 51.13, 5.66			11.52, 55.82, 4.85			14.06, 67.70, 4.82
9.09, 52.08, 5.73			11.20, 53.71, 4.79			12.57, 66.55, 5.30
8.32, 53.70, 6.45			12.15, 47.36, 3.90			14.04, 75.68, 5.39
8.84, 55.08, 6.23			11.86, 58.17, 4.91			12.95, 66.43, 5.13
9.38, 56.53, 6.03			11.91, 49.13, 4.13			13.12, 61.83, 4.71
9.19, 54.33, 5.91			11.71, 49.83, 4.26			13.56, 63.10, 4.65
8.85, 50.81, 5.74			11.52, 53.83, 4.67			13.35, 69.05, 5.17
8.92, 68.36, 7.67			11.94, 57.28, 4.80			13.29, 61.85, 4.65
8.67, 50.49, 5.82			10.77, 51.83, 4.81			13.32, 66.70, 5.01
8.41, 50.43, 5.99			11.98, 61.33, 5.12			12.95, 66.05, 5.10
8.96, 52.88, 5.90			11.46, 56.35, 4.92			12.66, 59.51, 4.70
9.10, 49.01, 5.39			10.80, 41.83, 3.87			12.55, 57.85, 4.61
9.27, 52.72, 5.69			10.80, 53.98, 5.00			13.47, 71.80, 5.33
8.56, 52.89, 6.18			11.21, 58.42, 5.21			13.46, 60.01, 4.46
8.95, 53.54, 5.98			11.15, 52.98, 4.75			12.68, 61.83, 4.87
9.66, 58.00, 6.00			10.99, 56.24, 5.12			12.95, 67.68, 5.23
8.79, 49.56, 5.64			12.45, 53.97, 4.34			13.55, 71.86, 5.30
8.73, 55.03, 6.30			11.62, 64.02, 5.51			12.50, 61.63, 4.93
8.13, 54.03, 6.64			12.81, 59.37, 4.64			12.65, 68.84, 5.44
9.86, 53.47, 5.42			11.96, 68.94, 5.76			13.50, 69.21, 5.13
8.25, 47.72, 5.79			12.08, 65.27, 5.40			13.29, 65.14, 4.90
7.91, 55.65, 7.04			12.26, 59.36, 4.84			13.27, 63.58, 4.79
8.71, 51.15, 5.87			12.39, 58.57, 4.73			13.35, 59.33, 4.44
8.98, 55.58, 6.19			11.83, 58.21, 4.92			12.38, 55.81, 4.51
8.58, 51.28, 5.98			11.29, 56.98, 5.04			13.04, 59.87, 4.59
8.52, 41.07, 4.82			12.13, 73.29, 6.04			13.78, 65.54, 4.76
9.16, 49.70, 5.43			12.07, 57.86, 4.79			12.91, 58.82, 4.56
8.24, 49.22, 5.97			11.79, 59.61, 5.06			12.33, 62.14, 5.04
8.30, 55.58, 6.70			11.99, 58.33, 4.86			13.08, 63.23, 4.84
8.91, 51.16, 5.74			11.62, 56.98, 4.90			13.03, 56.86, 4.36
8.49, 51.03, 6.01			12.55, 66.63, 5.31			12.67, 60.99, 4.81
8.59, 49.43, 5.76			10.87, 48.96, 4.50			12.63, 66.92, 5.30
8.07, 39.61, 4.91			10.78, 59.09, 5.48			12.62, 60.94, 4.83
8.65, 58.24, 6.73			11.16, 54.53, 4.89			12.82, 55.70, 4.35
8.44, 52.80, 6.25			10.70, 55.88, 5.22			12.66, 59.54, 4.70
9.32, 53.54, 5.74			12.56, 55.58, 4.43			13.51, 60.51, 4.48
9.62, 53.82, 5.59			11.37, 58.04, 5.10			13.99, 66.20, 4.73
8.33, 54.91, 6.59			11.22, 63.11, 5.63			13.68, 70.11, 5.13
